Song, Artist, Last Week, Peak Position, Weeks on Chart
"
Get Rich Or Die Tryin'
","
50 Cent
",57,1,42
"
The Cheetah Girls (EP)
","
Soundtrack
",52,51,15
"
It Had To Be You ... The Great American Songbook
","
Rod Stewart
",59,4,57
"
From There To Here: Greatest Hits
","
Lonestar
",121,7,25
"
Lost Dogs
","
Pearl Jam
",15,15,2
"
The Reel Me
","
Jennifer Lopez
",-,-,-
"
Some Devil
","
Dave Matthews
",45,2,9
"
Up!
 ","
Shania Twain
",61,1,53
"
Room On Fire
","
The Strokes
",47,4,4
"
In Time 1988-2003: The Best Of R.E.M.
","
R.E.M.
",46,8,4
"
Floacism "Live"
","
Floetry
",-,-,-
"
The Movie Album
","
Barbra Streisand
",49,5,6
"
The Lizzie McGuire Movie
","
Soundtrack
",66,6,31
"
Disney Presents: Brother Bear
","
Soundtrack
",64,52,5
"
No Pads, No Helmets...Just Balls
","
Simple Plan
",81,36,51
"
More Than You Think You Are
","
matchbox twenty
",70,6,53
"
Thank You
","
Stone Temple Pilots
",26,26,2
"
The Preacher's Son
","
Wyclef Jean
",44,22,3
"
Bette Midler Sings The Rosemary Clooney Songbook
","
Bette Midler
",68,14,8
"
Dance With My Father
","
Luther Vandross
",93,1,24
"
Melt
","
Rascal Flatts
",65,5,56
"
Trapt
","
Trapt
",83,42,44
"
The Young And The Hopeless
","
Good Charlotte
",71,7,60
"
Peace
","
Jim Brickman
",138,87,4
"
Grand Champ
","
DMX
",62,1,10
"
Greatest Hits 2
","
Bob Seger
",67,23,3
"
Stripped
","
Christina Aguilera
",87,2,56
"
Stroke Of Genius
","
Gerald Levert
",55,6,4
"
Almost There
","
MercyMe
",77,37,87
"
Elephunk
","
The Black Eyed Peas
",76,26,22
"
This Left Feels Right
","
Bon Jovi
",54,14,3
"
Audioslave
","
Audioslave
",78,7,53
"
The Beautiful Letdown
","
Switchfoot
",115,85,35
"
Concert For George
","
Soundtrack
",-,-,-
"
American IV: The Man Comes Around
","
Johnny Cash
",79,22,45
"
Seal IV
","
Seal
",74,3,11
"
Cheers
","
Obie Trice
",69,5,9
"
WOW Hits 2004
","
Various Artists
",88,51,7
"
In This Skin
","
Jessica Simpson
",102,10,14
"
Bow Wow: Unleashed
","
Bow Wow
",92,3,14
"
Chapter II
","
Ashanti
",89,1,21
"
Me & My Brother
","
Ying Yang Twins
",96,11,10
"
My Private Nation
","
 Train
",142,6,25
"
Totally Hits 2003
","
Various Artists
",84,13,7
"
Dutty Rock
","
Sean Paul
",103,9,54
"
Da Skool Boy Presents Murphy's Law
","
Murphy Lee
",80,8,9
"
No Shoes, No Shirt, No Problems
","
Kenny Chesney
",94,1,83
"
Kidz Bop 4
","
Kidz Bop Kids
",117,14,15
"
Elephant
","
The White Stripes
",107,6,34
"
Sounds Of Summer:The Very Best Of The Beach Boys
","
The Beach Boys
",171,16,24
"
Mud On The Tires
","
Brad Paisley
",169,8,18
"
Long Time Coming
","
Jonny Lang
",82,17,6
"
Por Ti
","
Ednita Nazario
",-,-,-
"
Hotel Paper
","
Michelle Branch
",112,2,22
"
Three Days Grace
","
Three Days Grace
",125,118,7
"
Comin' From Where I'm From
","
Anthony Hamilton
",97,33,9
"
14 Shades Of Grey
","
Staind
",113,1,27
"
Tha Smokin' Nephew
","
Baby Bash
",119,48,9
"
Thirteenth Step
","
A Perfect Circle
",99,2,10
"
The Very Best Of Cher
","
Cher
",116,4,34
"
The Essential Simon & Garfunkel
","
Simon & Garfunkel
",91,27,6
"
What's Wrong With This Picture?
","
Van Morrison
",95,32,5
"
Past, Present & Future
","
Rob Zombie
",98,11,9
"
Tim McGraw And The Dancehall Doctors
","
Tim McGraw
",118,2,52
"
North
","
Something Corporate
",127,24,5
"
Get Born
","
Jet
",123,79,7
"
Married To The Game
","
Too $hort
",86,49,3
"
Drankin' Patnaz
","
YoungBloodZ
",105,5,13
"
Chocolate Factory
 ","
R. Kelly
",126,1,40
"
Thankful
","
Kelly Clarkson
",128,1,32
"
Luther Vandross Live: Radio City Music Hall 2003
","
Luther Vandross
",111,22,4
"
SoulO
","
Nick Lachey
",51,51,2
"
Top Of The World Tour Live
","
Dixie Chicks
",-,-,-
"
Live... This Is Your House
","
The Brooklyn Tabernacle Choir
",-,-,-
"
Justified
","
Justin Timberlake
",144,2,55
"
Songs About Jane
","
Maroon 5
",122,47,28
"
Everything To Everyone
","
Barenaked Ladies
",104,10,5
"
Loon
","
Loon
",85,6,5
"
Worship & Faith
","
Randy Travis
",90,90,2
"
Welcome Interstate Managers
","
Fountains Of Wayne
",137,115,22
"
Real Talk
","
Dave Hollister
",42,42,2
"
My Town
","
Montgomery Gentry
",150,26,55
"
Too Hot For T.V.
","
Bad Boy's Da Band
",106,2,8
"
Stacie Orrico
","
Stacie Orrico
",140,59,35
"
Love & Life
","
Mary J. Blige
",124,1,13
"
Golden Road
","
Keith Urban
",134,11,59
"
World Wide Underground (EP)
","
Erykah Badu
",129,3,10
"
 More Street Dreams Pt. 2: The Mixtape
","
Fabolous
",72,28,3
"
Reloaded: Greatest Hits
","
Tom Jones
",133,127,5
"
Rock N Roll
","
Ryan Adams
",101,33,3
"
EP
","
matchbox twenty
",43,43,2
"
Come Poop With Me
","
Triumph The Insult Comic Dog
",141,141,3
"
Here I Am: Isley Meets Bacharach
","
Ronald Isley/Burt Bacharach
",73,73,2
"
Now 13
","
Various Artists
",143,2,18
"
See If I Care
","
Gary Allan
",132,17,8
"
A Mark, A Mission, A Brand, A Scar
","
Dashboard Confessional
",149,2,15
"
Wave On Wave
","
Pat Green
",139,10,19
"
 Long Black Train
","
Josh Turner
",162,130,6
"
Restless
","
Sara Evans
",-,20,8
"
Waiting For My Rocket To Come
","
Jason Mraz
",158,55,36
"
MH
","
Marques Houston
",114,18,5
"
Greatest Hits 1970-2002
","
Elton John
",-,12,46
"
I'm One Of You
","
Hank Williams Jr.
",-,-,-
"
Ashanti's Christmas
","
Ashanti
",-,-,-
"
Nu-Mixx Klazzics
","
2Pac
",109,15,7
"
Let Go
","
Avril Lavigne
",152,2,77
"
Bad Boys II
","
Soundtrack
",136,1,19
"
Thyrty: 30th Anniversary Collection (Limited Edition)
","
Lynyrd Skynyrd
",200,16,15
"
Just Because I'm A Woman: Songs Of Dolly Parton
","
Various Artists
",108,55,6
"
Ocean Avenue
","
Yellowcard
",168,99,18
"
Coverage
","
Mandy Moore
",135,14,5
"
Freaky Friday
","
Soundtrack
",155,19,17
"
Meet Me In Margaritaville: Jimmy Buffett The Ultimate Collection
","
Jimmy Buffett
",-,9,29
"
After The Storm
","
Monica
",157,1,23
"
Trap Muzik
","
T.I.
",146,4,14
"
Collide
","
Skillet
",-,-,-
"
Elv1s: 30 #1 Hits
","
Elvis Presley
",183,1,56
"
Eclipse
","
Mana
",-,-,-
"
In Time 1988-2003: The Best Of R.E.M. (Limited Edition)
","
R.E.M.
",131,16,4
"
Chicago
","
Soundtrack
",170,2,45
"
The Soul Sessions (EP)
","
Joss Stone
",156,128,9
"
Kill Bill Vol. 1
","
 Soundtrack
",130,45,7
"
i Worsh!p Christmas: A Total Worship Experience
","
Various Artists
",-,-,-
"
Chris Cagle
","
Chris Cagle
",173,15,27
"
Deliverance
","
Bubba Sparxxx
",145,10,10
"
La Historia
","
A.B. Quintanilla III & Kumbia Kings
",182,109,5
"
Faceless
","
Godsmack
",161,1,33
"
Totally Country Vol. 3
","
Various Artists
",160,37,9
"
The Eminem Show
","
Eminem
",164,1,79
"
Natural Selection
","
Fuel
",153,15,9
"
So Damn Happy
","
Aretha Franklin
",174,33,10
"
Train Of Thought
","
Dream Theater
",53,53,2
"
Greatest Hits Collection, Volume I
","
Trace Adkins
 ",196,9,20
"
Christmas: What's It Gonna Be, Santa?
","
Chicago
",-,-,-
"
Hit
","
Peter Gabriel
",189,100,3
"
Gotta Have Gospel!
","
Various Artists
",187,187,2
"
Dierks Bentley
","
Dierks Bentley
",185,26,14
